fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
DE,2020-08-23,0,2020-08-16,ar,9371.729244020298,853.4226139529596,7781.2319384187485,11194.439248065713
DE,2020-08-30,1,2020-08-16,ar,4405.6325031465885,43.28734419606539,4319.659987953072,4492.882107683333
DE,2020-09-06,2,2020-08-16,ar,4851.2581499757125,403.8182305298162,4096.093713196967,5706.245800359226
DE,2020-09-13,3,2020-08-16,ar,8453.309549297777,642.9974308434944,7241.039540557786,9811.764809665356
GB,2020-08-23,0,2020-08-16,ar,6684.672353491626,558.5323121240008,5632.1629336788865,7878.429103360444
GB,2020-08-30,1,2020-08-16,ar,6693.385012265143,556.6451887722922,5647.52422696149,7878.264383580376
GB,2020-09-06,2,2020-08-16,ar,6694.609882222309,555.4708775644604,5646.671733653299,7882.278676542907
GB,2020-09-13,3,2020-08-16,ar,6703.8818417493485,573.4152038310352,5630.22076446842,7924.255199321335
PL,2020-08-23,0,2020-08-16,ar,5066.788626102567,818.0177206065844,3627.136975089199,6897.707567234857
PL,2020-08-30,1,2020-08-16,ar,3479.993144813161,280.7495939289981,2956.0702828482995,4070.5286094832613
PL,2020-09-06,2,2020-08-16,ar,3466.538679304712,269.466456778404,2960.0576783713536,4035.358538558261
PL,2020-09-13,3,2020-08-16,ar,4899.316710411642,555.2859156695456,3884.3308385065307,6101.2254314053225
