fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
AT,2021-01-10,0,2021-01-03,spatial,13759.878121474643,1162.9596164358393,11633.651519036684,16274.704946079932
AT,2021-01-17,1,2021-01-03,spatial,14588.494899275633,1844.6887436716715,11376.670068308991,18707.07176602028
AT,2021-01-24,2,2021-01-03,spatial,14868.84189986239,3363.818820096915,9594.486332861883,23042.65718591711
AT,2021-01-31,3,2021-01-03,spatial,14868.525836208477,2865.0271504069287,10225.483025101563,21619.815904960946
BE,2021-01-10,0,2021-01-03,spatial,13532.227269327563,2585.491820470876,9338.606942014887,19609.04618919773
BE,2021-01-17,1,2021-01-03,spatial,12176.04575352885,528.1092961822259,11168.035053595944,13275.038042103177
BE,2021-01-24,2,2021-01-03,spatial,12034.555426214843,902.4380974014676,10366.019261486492,13971.662665603459
BE,2021-01-31,3,2021-01-03,spatial,12076.165005195333,922.160093502212,10376.101889918156,14054.773438029017
BG,2021-01-10,0,2021-01-03,spatial,5571.24755711241,1422.4335953463558,3432.5059689112945,9042.60607956808
BG,2021-01-17,1,2021-01-03,spatial,5543.023018806621,1338.8726964245911,3506.121304682115,8763.274717845445
BG,2021-01-24,2,2021-01-03,spatial,5204.222722419181,547.4898001658464,4224.6632123932595,6410.909647209758
BG,2021-01-31,3,2021-01-03,spatial,5754.725869994643,529.8487272697799,4793.707679275379,6908.404111072451
CH,2021-01-10,0,2021-01-03,spatial,24935.38187257385,2574.113644723864,20339.617501993685,30569.565483231836
CH,2021-01-17,1,2021-01-03,spatial,25619.724036249787,5794.052901751645,16514.368316788703,39745.405158871334
CH,2021-01-24,2,2021-01-03,spatial,24784.882384375807,2454.846631452079,20338.32814063675,30203.583625930718
CH,2021-01-31,3,2021-01-03,spatial,24870.244381686556,2615.367110956773,20168.82780045666,30667.575811758725
CY,2021-01-10,0,2021-01-03,spatial,3590.580274642326,1002.6014347762357,2115.1561047694267,6095.184501786897
CY,2021-01-17,1,2021-01-03,spatial,3436.987613723485,297.5349489836225,2892.0196069223616,4084.648606327993
CY,2021-01-24,2,2021-01-03,spatial,3569.331685346726,727.9126634089951,2392.883463577915,5324.174316859821
CY,2021-01-31,3,2021-01-03,spatial,3999.07206948078,479.5099655727923,3152.6041416910493,5072.814948572296
CZ,2021-01-10,0,2021-01-03,spatial,87345.80168119539,22081.553123713657,53871.464197593465,141620.22853783006
CZ,2021-01-17,1,2021-01-03,spatial,87212.39894109232,21044.315786266863,54691.129406228916,139071.9594134762
CZ,2021-01-24,2,2021-01-03,spatial,89098.82251518079,15262.891461170037,63975.4696805871,124088.18900786588
CZ,2021-01-31,3,2021-01-03,spatial,84400.54908014582,9243.164987438608,68003.81137020355,104750.78589714614
DE,2021-01-10,0,2021-01-03,spatial,140212.08043924102,1406.929416841789,137425.58539369568,143055.07555074285
DE,2021-01-17,1,2021-01-03,spatial,140314.52248861542,1349.9947690221409,137641.46638909823,143039.49047993822
DE,2021-01-24,2,2021-01-03,spatial,140236.78503145903,1371.10945829035,137521.30362076065,143005.88605670223
DE,2021-01-31,3,2021-01-03,spatial,140267.39233846654,1367.0691533581712,137560.42380712574,143027.62966926914
DK,2021-01-10,0,2021-01-03,spatial,12686.752608707124,3212.1043060079264,7864.368123401217,20466.19502406088
DK,2021-01-17,1,2021-01-03,spatial,12576.56504216686,2438.9529781792153,8643.053128150463,18300.244822595516
DK,2021-01-24,2,2021-01-03,spatial,13951.678643884954,1507.506419672729,11280.363385658799,17255.591006022143
DK,2021-01-31,3,2021-01-03,spatial,14008.424529010968,1531.9951310605245,11282.69681727705,17392.64654213721
EE,2021-01-10,0,2021-01-03,spatial,4330.666457819438,860.6950030034075,2949.3702260363502,6358.873431121158
EE,2021-01-17,1,2021-01-03,spatial,4285.8619579886545,491.8441942903299,3416.256917191689,5376.824158188353
EE,2021-01-24,2,2021-01-03,spatial,4312.106919984006,498.96652041294936,3427.9896393959198,5424.2480419662625
EE,2021-01-31,3,2021-01-03,spatial,4112.268973139637,330.7032777061916,3506.15941840112,4823.156647896682
ES,2021-01-10,0,2021-01-03,spatial,122606.12918067144,22932.437285365308,85146.09914762818,176546.70106030605
ES,2021-01-17,1,2021-01-03,spatial,124284.3098703656,12365.125031366111,102074.34846408518,151326.8505983943
ES,2021-01-24,2,2021-01-03,spatial,124258.86969318712,11852.903686312146,102987.3664241232,149923.89099302006
ES,2021-01-31,3,2021-01-03,spatial,118176.4126478996,15563.266291209246,90985.97097174061,153492.50392309655
FI,2021-01-10,0,2021-01-03,spatial,1853.821060334132,286.9081391367154,1366.951041800681,2514.100665383941
FI,2021-01-17,1,2021-01-03,spatial,1840.7303180041501,292.628768322861,1348.3892228872382,2512.84128210732
FI,2021-01-24,2,2021-01-03,spatial,1816.2586211747,442.13532586327767,1140.381274489053,2892.71268547394
FI,2021-01-31,3,2021-01-03,spatial,1748.5517133112273,228.0651412025404,1351.8490003924271,2261.6676072816485
FR,2021-01-10,0,2021-01-03,spatial,121350.03762109794,22124.490092709657,84684.36620249457,173890.79343677143
FR,2021-01-17,1,2021-01-03,spatial,122329.59438461885,19804.01777736393,89047.12088143876,168051.80801106192
FR,2021-01-24,2,2021-01-03,spatial,123137.78335028686,21884.368028538614,87034.42848969021,174217.42121531055
FR,2021-01-31,3,2021-01-03,spatial,96149.54610413137,7867.518895021656,81723.55594119465,113122.03818789615
GB,2021-01-10,0,2021-01-03,spatial,414173.7812883429,109674.46345181986,251078.60682742327,683212.0158472547
GB,2021-01-17,1,2021-01-03,spatial,419112.20148983295,65128.65441103315,309490.5616375443,567561.8555481842
GB,2021-01-24,2,2021-01-03,spatial,421701.47756857955,60466.38786558272,318378.6937622635,558555.3922660168
GB,2021-01-31,3,2021-01-03,spatial,418035.27885729494,60099.46188774122,314733.1909402229,555243.2962257453
GR,2021-01-10,0,2021-01-03,spatial,4599.040697626987,771.3181556139772,3306.769415179125,6396.326046000875
GR,2021-01-17,1,2021-01-03,spatial,4571.0028294105905,990.3350718850007,3010.110723446261,6941.295117064039
GR,2021-01-24,2,2021-01-03,spatial,4593.273269082498,649.3631751855485,3475.5918290510554,6070.378905864865
GR,2021-01-31,3,2021-01-03,spatial,4565.7494337691915,1036.2626669001359,2958.876878212207,7045.263709843564
HR,2021-01-10,0,2021-01-03,spatial,7148.807611010403,1778.439887983888,4440.064431735569,11510.069514748855
HR,2021-01-17,1,2021-01-03,spatial,7016.008601685317,1978.0860634942535,4120.514410991593,11946.172683588942
HR,2021-01-24,2,2021-01-03,spatial,6997.447481717545,1201.0739788762367,5005.098489236625,9782.878671557017
HR,2021-01-31,3,2021-01-03,spatial,6899.094328470026,1146.6525389297385,4985.748874807001,9546.710784740395
HU,2021-01-10,0,2021-01-03,spatial,14149.232676563492,1459.3358026586286,11516.776753331376,17383.40419576349
HU,2021-01-17,1,2021-01-03,spatial,14039.833232046763,1366.5519654942493,11564.478390401611,17045.033120325556
HU,2021-01-24,2,2021-01-03,spatial,13749.274562312952,3374.128887543047,8573.928382951211,22048.533944576302
HU,2021-01-31,3,2021-01-03,spatial,13912.661225058962,2502.893594626511,9817.591470532325,19715.848122652013
IE,2021-01-10,0,2021-01-03,spatial,43794.76010203353,10251.527472622782,27838.31500167874,68897.16609209313
IE,2021-01-17,1,2021-01-03,spatial,40963.0154162067,5866.81192018037,30922.87443164688,54263.022530374226
IE,2021-01-24,2,2021-01-03,spatial,43727.54275119148,10956.565474462164,27025.301143929584,70752.14388450111
IE,2021-01-31,3,2021-01-03,spatial,38129.310291853595,5669.633546239889,28404.041697381734,51184.416598940115
IS,2021-01-10,0,2021-01-03,spatial,104.98237707109767,12.614677827141282,82.602069996427,133.4264322428587
IS,2021-01-17,1,2021-01-03,spatial,126.20878702340937,18.86204460506266,93.92895605087692,169.58197548040982
IS,2021-01-24,2,2021-01-03,spatial,126.4392989623738,18.57785809890836,94.71686998862795,168.78615524368553
IS,2021-01-31,3,2021-01-03,spatial,121.8753854234572,14.390746332727092,96.37507172848007,154.1229418117965
IT,2021-01-10,0,2021-01-03,spatial,115656.57865212693,11779.188014506948,94452.30970052152,141621.14434181765
IT,2021-01-17,1,2021-01-03,spatial,115881.57242853653,11840.646498435382,94577.5370351903,141984.44207226162
IT,2021-01-24,2,2021-01-03,spatial,115480.04364661852,11602.420988847993,94478.7675571226,141149.60244969418
IT,2021-01-31,3,2021-01-03,spatial,114684.28525234618,14296.264152523168,89733.84302857473,146572.18324699686
LI,2021-01-10,0,2021-01-03,spatial,117.11232682461173,13.57644198786741,93.00566113857141,147.4673361424732
LI,2021-01-17,1,2021-01-03,spatial,116.58706141053459,14.322129032966194,91.66074453718538,148.2918664579413
LI,2021-01-24,2,2021-01-03,spatial,116.6763651210291,14.668260140214567,90.96259726323623,149.65903115606974
LI,2021-01-31,3,2021-01-03,spatial,127.6764007251163,12.347420791634873,105.28363249850048,154.83188521589668
LT,2021-01-10,0,2021-01-03,spatial,13327.54975137468,3408.842619030086,8166.68625015305,21749.774257831752
LT,2021-01-17,1,2021-01-03,spatial,13448.553707537927,2741.0530955791432,9062.643215179163,19957.047025927357
LT,2021-01-24,2,2021-01-03,spatial,13255.898988179655,3351.5275865652416,8178.299784753324,21485.98884971328
LT,2021-01-31,3,2021-01-03,spatial,13372.057733497331,2568.227121763244,9204.565449689411,19426.438869422072
LU,2021-01-10,0,2021-01-03,spatial,1297.9316482602328,242.68946587377948,901.7317802264544,1868.2124779193869
LU,2021-01-17,1,2021-01-03,spatial,1316.8810797836059,158.03085057120475,1038.4111958723367,1670.0280054619498
LU,2021-01-24,2,2021-01-03,spatial,1257.5438475731094,102.08792038358645,1070.9368509295387,1476.666460021765
LU,2021-01-31,3,2021-01-03,spatial,1252.7172229940702,98.11863946702064,1071.9229645434489,1464.0048704007086
LV,2021-01-10,0,2021-01-03,spatial,6777.690180835611,690.2435941161827,5540.71431552928,8290.823451886867
LV,2021-01-17,1,2021-01-03,spatial,7067.280903018046,868.8375877524443,5550.112540870107,8999.179565164874
LV,2021-01-24,2,2021-01-03,spatial,7066.840773320603,1264.2590021685685,4982.12552144731,10023.882035986695
LV,2021-01-31,3,2021-01-03,spatial,6938.4358072073865,1671.2933407699409,4364.890068917613,11029.3479768382
MT,2021-01-10,0,2021-01-03,spatial,1203.5500678127555,112.85602073397473,999.2301691965048,1449.6487499940824
MT,2021-01-17,1,2021-01-03,spatial,1210.806541992886,113.31429832149864,1005.4269022711817,1458.1393026395765
MT,2021-01-24,2,2021-01-03,spatial,1042.1855189637745,122.51803386053751,825.0106048576764,1316.5293264626155
MT,2021-01-31,3,2021-01-03,spatial,1221.1017909040772,253.1930804582271,816.2405666341631,1826.7771104513688
NL,2021-01-10,0,2021-01-03,spatial,53184.61976656291,9563.451139149302,37424.514145926136,75581.57652186338
NL,2021-01-17,1,2021-01-03,spatial,54659.10180344576,4466.160516940115,46443.01954759626,64328.66422256726
