fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
AT,2021-03-21,0,2021-03-14,spatial,20300.85765599201,4134.029575372988,13682.644157112349,30120.261612929826
AT,2021-03-28,1,2021-03-14,spatial,20450.833217535717,4485.316706961491,13232.628203463923,31606.463422132583
AT,2021-04-04,2,2021-03-14,spatial,20412.054476141133,4715.045229798424,13087.822963129367,31835.085874154396
AT,2021-04-11,3,2021-03-14,spatial,20325.377228908277,4544.9549911064505,13095.96107862943,31545.677099756518
BE,2021-03-21,0,2021-03-14,spatial,22471.97419882277,4596.236076023155,15125.167612510733,33387.37376866198
BE,2021-03-28,1,2021-03-14,spatial,22132.37812900664,2359.2913605399767,17900.091510910734,27365.343989820118
BE,2021-04-04,2,2021-03-14,spatial,22759.4691990846,3195.552209258157,17278.22089770499,29979.55873413357
BE,2021-04-11,3,2021-03-14,spatial,22753.010272716412,3218.702343285419,17229.17428514003,30047.840244836832
BG,2021-03-21,0,2021-03-14,spatial,24551.49454647194,5481.7876427757365,15893.397453495527,37926.18200288381
BG,2021-03-28,1,2021-03-14,spatial,24363.028305305987,5862.96643666472,15409.637387727593,38518.56687282312
BG,2021-04-04,2,2021-03-14,spatial,24140.85333281915,3506.226708994196,18132.14551922336,32140.752401244088
BG,2021-04-11,3,2021-03-14,spatial,24379.20089663764,3327.617068518125,18627.807932887263,31906.354118527543
CH,2021-03-21,0,2021-03-14,spatial,9996.827329738358,2325.154614054464,6387.362583346822,15645.98147616656
CH,2021-03-28,1,2021-03-14,spatial,9924.277870930291,2158.0511750822507,6497.58124262973,15158.146944473572
CH,2021-04-04,2,2021-03-14,spatial,9954.428029499148,1734.6726768198316,7097.766590014564,13960.819384210683
CH,2021-04-11,3,2021-03-14,spatial,9936.865083532468,1455.5309662556558,7441.793666311631,13268.479632177949
CY,2021-03-21,0,2021-03-14,spatial,2661.509884983664,391.97261510057183,1989.361209858024,3560.758515227755
CY,2021-03-28,1,2021-03-14,spatial,2608.751874170849,335.6956150222296,2023.6194262413794,3363.076205307262
CY,2021-04-04,2,2021-03-14,spatial,2624.8769993470064,605.6977997450717,1680.426955216079,4100.136123331226
CY,2021-04-11,3,2021-03-14,spatial,2623.391327290603,378.6879782859596,1975.1362620127288,3484.4087410406714
CZ,2021-03-21,0,2021-03-14,spatial,68366.66300531897,17639.84563916405,41942.582089142896,111438.07504623671
CZ,2021-03-28,1,2021-03-14,spatial,66856.30780101144,14341.45376952794,44189.87440424271,101149.09700568052
CZ,2021-04-04,2,2021-03-14,spatial,67251.84344251896,13258.413269395898,45765.214874586716,98826.37848005787
CZ,2021-04-11,3,2021-03-14,spatial,67264.4937058674,17670.283575801583,40768.82263483163,110979.71001107768
DE,2021-03-21,0,2021-03-14,spatial,99187.27640825904,20657.825280579556,66494.02266777054,147954.88987699465
DE,2021-03-28,1,2021-03-14,spatial,98804.0126541598,18504.426137697512,68633.97930038937,142236.1491505126
DE,2021-04-04,2,2021-03-14,spatial,99444.98059650423,20903.817822949306,66523.64970195774,148658.4727408314
DE,2021-04-11,3,2021-03-14,spatial,92017.1022063223,10775.68615457835,72946.30765590568,116073.68995822329
DK,2021-03-21,0,2021-03-14,spatial,4894.33167634774,1298.4938468711096,2961.4162262020363,8088.860439865316
DK,2021-03-28,1,2021-03-14,spatial,5297.979113611289,617.7650338667238,4202.931916314747,6678.333898131001
DK,2021-04-04,2,2021-03-14,spatial,5413.260545240436,607.2551022731699,4335.133811673313,6759.512163557876
DK,2021-04-11,3,2021-03-14,spatial,5246.918497733794,808.1230148224457,3880.715340752817,7094.092533084505
EE,2021-03-21,0,2021-03-14,spatial,10163.86655136979,2474.661481125625,6400.065573467554,16141.113257076127
EE,2021-03-28,1,2021-03-14,spatial,10291.683883951784,1715.078270078518,7442.506085849056,14231.598327958833
EE,2021-04-04,2,2021-03-14,spatial,10115.1133657209,2003.0834837829543,6867.373888259084,14898.783736867883
EE,2021-04-11,3,2021-03-14,spatial,10169.501575877308,1313.3305724693332,7893.727335571095,13101.3851765237
ES,2021-03-21,0,2021-03-14,spatial,28866.132799011346,6397.168621124708,18782.585750999537,44363.094294714785
ES,2021-03-28,1,2021-03-14,spatial,25752.342821144124,3722.685863973672,19403.347563427546,34178.801292398435
ES,2021-04-04,2,2021-03-14,spatial,25940.64405941841,3763.418900542386,19485.690746577537,34533.906083654256
ES,2021-04-11,3,2021-03-14,spatial,17953.727823667043,175.62320966000897,17605.69815836054,18308.63734382757
FI,2021-03-21,0,2021-03-14,spatial,5080.696637241307,1159.5400808833238,3251.427152032416,7939.1224569000515
FI,2021-03-28,1,2021-03-14,spatial,5077.724333603321,852.9407210131168,3659.4423616054073,7045.686708604445
FI,2021-04-04,2,2021-03-14,spatial,5077.027208454724,1315.0196384257688,3107.4449933374653,8294.983605713114
FI,2021-04-11,3,2021-03-14,spatial,5089.1715563734415,651.5184210066567,3951.10140171386,6555.049971374068
FR,2021-03-21,0,2021-03-14,spatial,168411.80772159985,17349.031437105394,137433.23446662675,206373.20434268366
FR,2021-03-28,1,2021-03-14,spatial,171054.6263254024,24620.232052465213,128629.10446909984,227473.28692125052
FR,2021-04-04,2,2021-03-14,spatial,169269.71711537972,19495.66066248087,134865.78982379686,212450.00062473246
FR,2021-04-11,3,2021-03-14,spatial,169498.83893507393,19553.456567193083,134846.58587191516,213055.86800415814
GB,2021-03-21,0,2021-03-14,spatial,37526.540209617706,8999.676484353267,23566.646395943597,59755.69015820798
GB,2021-03-28,1,2021-03-14,spatial,37016.45061071672,7895.519651668426,24434.06442780669,56078.16987894498
GB,2021-04-04,2,2021-03-14,spatial,37380.69386206907,6645.873969326029,26499.491128378217,52729.92854241441
GB,2021-04-11,3,2021-03-14,spatial,36697.1424251789,5555.105317544493,27275.619513125108,49373.0403273091
GR,2021-03-21,0,2021-03-14,spatial,16265.2637415992,2398.341695617973,12171.716783805416,21735.53733486303
GR,2021-03-28,1,2021-03-14,spatial,15595.12430548627,1321.692541965949,13179.932047673792,18452.894993983973
GR,2021-04-04,2,2021-03-14,spatial,16026.511675286578,2347.596986113594,11978.297522610415,21442.869989935112
GR,2021-04-11,3,2021-03-14,spatial,16083.833364670025,3193.404542797049,10927.891665584972,23672.42498543061
HR,2021-03-21,0,2021-03-14,spatial,6501.584494697129,854.8333581525814,5007.721204394402,8441.085119633377
HR,2021-03-28,1,2021-03-14,spatial,6438.7305810778735,850.3399900860028,4964.714861403044,8350.379156315024
HR,2021-04-04,2,2021-03-14,spatial,6139.7714912308675,862.0786499917226,4647.954446519412,8110.405211212921
HR,2021-04-11,3,2021-03-14,spatial,6367.62841663781,1688.8747817271915,3847.436172495849,10538.626200540844
HU,2021-03-21,0,2021-03-14,spatial,53809.75573494661,12024.892435490701,35108.51663960342,82472.57615516643
HU,2021-03-28,1,2021-03-14,spatial,53082.52066555528,10990.887299100626,35643.51038352366,79053.77360114393
HU,2021-04-04,2,2021-03-14,spatial,53314.68988175219,10125.508758876544,36700.506494506975,77450.05256570083
HU,2021-04-11,3,2021-03-14,spatial,58989.904545410594,5131.780813116363,49624.047480947316,70123.43843199598
