FIPS,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26
50001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.4849066497880004,2.9444389791664403,2.995732273553991,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0
50003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.3978952727983707,2.0794415416798357,2.0794415416798357,1.791759469228055,0.6931471805599453,2.0794415416798357,2.1972245773362196,1.6094379124341003,0.0,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,0.0
50005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,0.0,0.0
50007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423,4.418840607796598,4.941642422609304,4.663439094112067,3.4965075614664802,3.044522437723423,2.833213344056216,2.1972245773362196,1.0986122886681098,1.791759469228055,2.1972245773362196,3.9889840465642745,4.174387269895637,2.3978952727983707,3.091042453358316,3.091042453358316,3.295836866004329,3.4339872044851463,3.4011973816621555,0.6931471805599453
50009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
50011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,2.772588722239781,4.04305126783455,2.302585092994046,1.0986122886681098,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.791759469228055,0.0,0.0,1.3862943611198906,0.0
50013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,0.0,0.0
50015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,2.0794415416798357,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,0.0,0.0
50017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0
50019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,2.8903717578961645,2.3978952727983707,1.9459101490553132,0.6931471805599453,1.6094379124341003,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,1.0986122886681098,2.4849066497880004,0.0,0.0,1.3862943611198906,1.3862943611198906,0.0
50023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,2.3978952727983707,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0
50025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,2.772588722239781,3.2188758248682006,2.5649493574615367,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,0.0
50027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.9459101490553132,2.1972245773362196,1.0986122886681098,1.3862943611198906,2.1972245773362196,1.6094379124341003,0.6931471805599453,1.6094379124341003,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,1.3862943611198906,0.0
80050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0.0,2.995732273553991,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0
