fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
1001,2020-08-09,0,2020-08-02,spatial,110.92470236145769,14.071339347786216,86.29002051274678,142.59226641579468
1001,2020-08-16,1,2020-08-02,spatial,111.339437701838,13.20963356512583,88.01605075551086,140.84329257394342
1001,2020-08-23,2,2020-08-02,spatial,110.95901666328272,12.010871895894113,89.39412092340372,137.72609710466259
1001,2020-08-30,3,2020-08-02,spatial,111.94197050232063,12.969300773804624,88.99944670634396,140.7986816062892
1003,2020-08-09,0,2020-08-02,spatial,381.8709311014656,38.415289447525076,312.8237376376402,466.15838402013253
1003,2020-08-16,1,2020-08-02,spatial,381.90729667221984,31.46022709026472,324.0819648430084,450.0502930551443
1003,2020-08-23,2,2020-08-02,spatial,379.93047668625053,35.840581043482096,314.8584744011236,458.4509513031117
1003,2020-08-30,3,2020-08-02,spatial,380.4502184982647,32.2294544980697,321.5941276495708,450.07777291598336
1005,2020-08-09,0,2020-08-02,spatial,20.26820611774456,1.6904181920767654,17.172936951320686,23.921370025165402
1005,2020-08-16,1,2020-08-02,spatial,20.837804039337342,2.312809280913083,16.69140126417645,26.01423752922088
1005,2020-08-23,2,2020-08-02,spatial,20.9967596640013,1.7887805814113773,17.718843855673395,24.88107689072905
1005,2020-08-30,3,2020-08-02,spatial,21.06389421401701,2.2217320838151875,17.078802583352104,25.97884935398179
1007,2020-08-09,0,2020-08-02,spatial,72.91189171834604,7.154053450021353,60.03428836694765,88.55179429218755
1007,2020-08-16,1,2020-08-02,spatial,73.37866929518545,7.932490229137162,59.277140577906074,90.83483202864015
1007,2020-08-23,2,2020-08-02,spatial,73.01604615628338,7.390163158655887,59.719325047976135,89.2733297305942
1007,2020-08-30,3,2020-08-02,spatial,72.68898552296625,8.375201382241434,57.90057172357019,91.25451544042544
1009,2020-08-09,0,2020-08-02,spatial,124.38485846118203,14.926695292644348,98.00141311238495,157.8711216813369
1009,2020-08-16,1,2020-08-02,spatial,124.29508885987066,13.714598241128886,100.01012272204365,154.47705386404758
1009,2020-08-23,2,2020-08-02,spatial,124.68420904670481,13.885869205558127,100.00111157671809,155.45979180117232
1009,2020-08-30,3,2020-08-02,spatial,125.42109328044909,12.984985135628795,102.2457823066811,153.84938414848662
1011,2020-08-09,0,2020-08-02,spatial,26.93387388464623,2.8496203126289,21.846460861393627,33.20599922507318
1011,2020-08-16,1,2020-08-02,spatial,27.03082295835205,2.7340125366953845,22.129394133920254,33.01786688709195
1011,2020-08-23,2,2020-08-02,spatial,26.98186453005237,2.3515665980003018,22.706614201437826,32.06206821763846
1011,2020-08-30,3,2020-08-02,spatial,27.041255080621127,2.5906063138572337,22.349670528817395,32.71768482637717
1013,2020-08-09,0,2020-08-02,spatial,15.002121846276047,1.5303839679893014,12.24657411824969,18.3776832375616
1013,2020-08-16,1,2020-08-02,spatial,15.002157605536757,1.5619214145870337,12.186090690893524,18.46898554509788
1013,2020-08-23,2,2020-08-02,spatial,14.970347142978895,1.2407934135586958,12.696502555610259,17.65141956217441
1013,2020-08-30,3,2020-08-02,spatial,15.054821925009186,0.9135182847024772,13.338309122898615,16.992233506167487
1015,2020-08-09,0,2020-08-02,spatial,279.3695763570178,24.32250002686388,235.43451180941904,331.50348092159857
1015,2020-08-16,1,2020-08-02,spatial,280.5300429048561,31.023332397744774,225.24080369807444,349.39097925476466
1015,2020-08-23,2,2020-08-02,spatial,280.833503564205,28.52530476433865,229.6910925486053,343.36314851851324
1015,2020-08-30,3,2020-08-02,spatial,279.6111497305774,22.751980862804107,237.78270117609384,328.79765713383887
1017,2020-08-09,0,2020-08-02,spatial,38.94875541045071,2.477988027999459,34.301900362482144,44.22511674257979
1017,2020-08-16,1,2020-08-02,spatial,37.09194991665125,4.009454788071691,29.940329924784695,45.95182324562374
1017,2020-08-23,2,2020-08-02,spatial,36.85313742785989,3.3825397824505496,30.69357663154541,44.248793634590015
1017,2020-08-30,3,2020-08-02,spatial,36.79715516793525,3.8375906556775887,29.939066855045628,45.2262134624583
1019,2020-08-09,0,2020-08-02,spatial,47.107143197286355,5.127435942083209,37.919174846858894,58.52139317829759
1019,2020-08-16,1,2020-08-02,spatial,50.3156667411188,3.717647792312559,43.449322643404955,58.26710672525528
1019,2020-08-23,2,2020-08-02,spatial,49.42375670763486,3.3742278183794028,43.13587324853019,56.628220159625826
1019,2020-08-30,3,2020-08-02,spatial,46.97931224862918,4.748237727725142,38.47930984361736,57.356948144959745
1021,2020-08-09,0,2020-08-02,spatial,103.0484319004162,13.953303087897842,79.03253757238636,134.36212025216483
1021,2020-08-16,1,2020-08-02,spatial,103.45650435170091,9.220502038802145,86.65967638875071,123.50898063199898
1021,2020-08-23,2,2020-08-02,spatial,103.43461215309442,6.9892710555760535,90.33733849483927,118.4307526601778
1021,2020-08-30,3,2020-08-02,spatial,103.04215474557735,6.014978026910557,91.72309420751257,115.75804050602852
1023,2020-08-09,0,2020-08-02,spatial,9.007450086124372,0.9357216289854322,7.323283245240852,11.078931994983025
1023,2020-08-16,1,2020-08-02,spatial,8.77455240006314,0.4450572437941919,7.929929069298584,9.709137263224466
1023,2020-08-23,2,2020-08-02,spatial,8.957929331666719,0.9840456544364898,7.203888509539902,11.139053277250119
1023,2020-08-30,3,2020-08-02,spatial,8.950469158105276,1.024263891175248,7.137358189783331,11.224166704267036
1025,2020-08-09,0,2020-08-02,spatial,182.7945476968801,21.080412722116577,145.61173583763463,229.47220892253708
1025,2020-08-16,1,2020-08-02,spatial,184.8729718639511,19.70858566477164,149.50441845427562,228.60873330149926
1025,2020-08-23,2,2020-08-02,spatial,184.00227529881587,17.383738883237786,152.54721036647794,221.9433395983046
1025,2020-08-30,3,2020-08-02,spatial,184.26246553017484,17.564307567888893,152.52883349544564,222.59828142114944
1027,2020-08-09,0,2020-08-02,spatial,43.18675285166891,4.997873374683135,34.402691466612445,54.21365429158917
1027,2020-08-16,1,2020-08-02,spatial,42.965281274472666,4.642742754655399,34.7113836566352,53.181844125124044
1027,2020-08-23,2,2020-08-02,spatial,43.17528462761302,4.473436049864658,35.131476087260545,53.06082779002168
1027,2020-08-30,3,2020-08-02,spatial,42.9586175554106,3.770965918533587,36.11827903767021,51.094428401400116
1029,2020-08-09,0,2020-08-02,spatial,14.033988059108149,1.2925541627003043,11.686455779910206,16.85308399333227
1029,2020-08-16,1,2020-08-02,spatial,13.919214323169825,1.4211105015670948,11.367862048522868,17.043180727154493
1029,2020-08-23,2,2020-08-02,spatial,14.038375687662025,1.352689661632971,11.594961084965307,16.99669283094708
1029,2020-08-30,3,2020-08-02,spatial,14.037687868815071,1.3023307488904674,11.674599656122705,16.879095344304336
1031,2020-08-09,0,2020-08-02,spatial,80.39245926101769,5.224682662597398,70.59718763155503,91.5468125977532
1031,2020-08-16,1,2020-08-02,spatial,80.43547491133856,8.573863097581357,65.19890549575436,99.2327336635104
1031,2020-08-23,2,2020-08-02,spatial,80.91607412747014,8.090854926543848,66.34012413089668,98.69458548620511
1031,2020-08-30,3,2020-08-02,spatial,81.32099680138694,8.551209239881253,65.96389916175421,100.25339018475506
1033,2020-08-09,0,2020-08-02,spatial,110.2966965962271,13.578717439868882,86.67340944852764,140.35863314301446
1033,2020-08-16,1,2020-08-02,spatial,110.2313592180036,14.132636823832758,85.56799359077358,142.00347636009934
1033,2020-08-23,2,2020-08-02,spatial,110.24630285934231,13.0685269695469,87.1799369093429,139.41564682242029
1033,2020-08-30,3,2020-08-02,spatial,109.73580890717984,9.397881778865145,92.45933601040548,130.24047409509708
1035,2020-08-09,0,2020-08-02,spatial,38.32157413239067,2.13378007913446,34.29128726754266,42.825544358444574
1035,2020-08-16,1,2020-08-02,spatial,33.902006338628475,3.9241276213203036,26.959826222801123,42.63180423664424
1035,2020-08-23,2,2020-08-02,spatial,33.99405966424963,3.37033182015017,27.932212730565396,41.371448212981335
1035,2020-08-30,3,2020-08-02,spatial,33.96842932552672,3.156872257376329,28.250917568950356,40.843069540207296
1037,2020-08-09,0,2020-08-02,spatial,15.995979699681985,1.7581127434277668,12.864546481666858,19.88965308005828
1037,2020-08-16,1,2020-08-02,spatial,15.966567572085829,1.5512932423262538,13.171137284676789,19.355297460194887
1037,2020-08-23,2,2020-08-02,spatial,15.983032716087768,1.60186297232458,13.089400337213313,19.516351263034085
1037,2020-08-30,3,2020-08-02,spatial,15.954992061414206,1.7746649860250323,12.80281196964608,19.883270353678984
1039,2020-08-09,0,2020-08-02,spatial,66.82985830547929,7.371558184599966,53.70281505438711,83.16565819887286
1039,2020-08-16,1,2020-08-02,spatial,66.90535036416243,6.480611087834897,55.14829922831464,81.16888408143446
1039,2020-08-23,2,2020-08-02,spatial,66.98360932080354,4.844558655027353,58.01516423546949,77.33846791213395
1039,2020-08-30,3,2020-08-02,spatial,66.76525534096042,5.749679826257823,56.19352707196258,79.32585037837455
1041,2020-08-09,0,2020-08-02,spatial,38.00983744945772,4.380486193043227,30.276657111063194,47.71820540274517
1041,2020-08-16,1,2020-08-02,spatial,38.29166887435874,4.997271667986818,29.584591088966327,49.561337548125785
1041,2020-08-23,2,2020-08-02,spatial,38.10510732300194,4.751594157419794,29.8028176741788,48.72019887419939
1041,2020-08-30,3,2020-08-02,spatial,38.10834042845868,3.946544271099708,31.0515243585296,46.768899118872994
1043,2020-08-09,0,2020-08-02,spatial,124.59795256486929,14.25865931993182,99.36191872659091,156.24345808051277
1043,2020-08-16,1,2020-08-02,spatial,124.54462742366177,13.773991355364544,99.95348795390491,155.18582230218945
1043,2020-08-23,2,2020-08-02,spatial,126.78611157473192,6.150305312992369,115.05716209185921,139.71071244923164
1043,2020-08-30,3,2020-08-02,spatial,124.902410285815,9.68669425168453,107.02250148782952,145.76945855615372
1045,2020-08-09,0,2020-08-02,spatial,67.13823124179861,9.063244704566806,51.517544609089015,87.49528201470177
1045,2020-08-16,1,2020-08-02,spatial,66.82225337589931,6.720884430971825,54.72174350106562,81.59852483768054
1045,2020-08-23,2,2020-08-02,spatial,66.97553026649298,5.507531381610501,56.88658126640676,78.85377455661713
1045,2020-08-30,3,2020-08-02,spatial,66.99794538744375,7.313339392275175,53.87585737898893,83.31606965552345
1047,2020-08-09,0,2020-08-02,spatial,56.94211977069846,5.748943973149284,46.59411072415863,69.5883010446513
1047,2020-08-16,1,2020-08-02,spatial,56.99117236935268,6.500621782576048,45.465424548430605,71.43876385831278
1047,2020-08-23,2,2020-08-02,spatial,57.17893412901893,5.746753506408112,46.84536297022206,69.79197728084519
1047,2020-08-30,3,2020-08-02,spatial,59.94258658187819,2.0151738574370746,56.04777673626099,64.10805022710815
1049,2020-08-09,0,2020-08-02,spatial,168.68966148995105,8.88020091223559,151.8790423160263,187.36095158134648
1049,2020-08-16,1,2020-08-02,spatial,172.6117601762229,19.06401939535971,138.56915628155633,215.01768900572876
1049,2020-08-23,2,2020-08-02,spatial,170.7126026210639,11.748006277096515,148.7579440837726,195.90747151792843
1049,2020-08-30,3,2020-08-02,spatial,172.52926562783261,18.105925895133808,140.05396591531098,212.53484186287568
1051,2020-08-09,0,2020-08-02,spatial,158.097753383439,18.172611778880672,126.08112369066289,198.24458168865232
1051,2020-08-16,1,2020-08-02,spatial,157.3097990476189,14.597458190714313,130.77105435753555,189.23433016563615
1051,2020-08-23,2,2020-08-02,spatial,157.7000235057201,14.960744582667086,130.6685118128631,190.32356815482242
1051,2020-08-30,3,2020-08-02,spatial,158.02339562532939,14.331966767257125,132.07195817872642,189.07415252499558
1053,2020-08-09,0,2020-08-02,spatial,158.13319111106725,18.85618435805188,124.96341338504749,200.10741907248047
1053,2020-08-16,1,2020-08-02,spatial,162.47536105210216,8.234664903405493,146.81581505599124,179.80517248052223
1053,2020-08-23,2,2020-08-02,spatial,157.59946124938585,16.175583385829054,128.58810310680735,193.15620641410484
1053,2020-08-30,3,2020-08-02,spatial,157.2708521319037,13.604175354710149,132.44619262921856,186.74844810026343
1055,2020-08-09,0,2020-08-02,spatial,211.24255675759872,27.290502856073765,163.55777971710927,272.82968662614707
1055,2020-08-16,1,2020-08-02,spatial,211.8210055591096,18.604401401633748,177.74955901398738,252.42334577348592
1055,2020-08-23,2,2020-08-02,spatial,211.48926773806855,19.088312072996786,176.6377093180556,253.2172237800439
1055,2020-08-30,3,2020-08-02,spatial,212.08971465907604,18.456424522726053,178.47675444149738,252.0330852324687
1057,2020-08-09,0,2020-08-02,spatial,43.904138731422556,4.5822768604517625,35.659563670049,54.054878954309686
1057,2020-08-16,1,2020-08-02,spatial,43.903840389619255,4.655162497296395,35.55128584330306,54.218775924254295
1057,2020-08-23,2,2020-08-02,spatial,43.86131209467673,4.836566088101294,35.244265400841606,54.58518362594942
1057,2020-08-30,3,2020-08-02,spatial,43.96603836383271,4.334526137183636,36.142176189321816,53.48356776538312
1059,2020-08-09,0,2020-08-02,spatial,101.81758073769026,2.782562815515896,96.41113644152556,107.52720204230421
1059,2020-08-16,1,2020-08-02,spatial,86.99779542020325,7.239167093604221,73.81547197255179,102.53428184798331
1059,2020-08-23,2,2020-08-02,spatial,87.31648406729575,7.8475466498055235,73.02119112049479,104.41035366423165
1059,2020-08-30,3,2020-08-02,spatial,86.89841224800594,8.277115750062862,71.87364031358085,105.06402650927828
1061,2020-08-09,0,2020-08-02,spatial,43.10365507931203,4.846745381182909,34.449166464199635,53.93236678533575
1061,2020-08-16,1,2020-08-02,spatial,43.13210122764245,4.7601767252001785,34.59248238362784,53.779839668057114
1061,2020-08-23,2,2020-08-02,spatial,42.75041351687942,5.007670787589663,33.93554026702581,53.85498039764556
1061,2020-08-30,3,2020-08-02,spatial,42.947944473893536,4.789398038562672,34.41921668716706,53.590003261763954
1063,2020-08-09,0,2020-08-02,spatial,7.984183514803952,0.9009273497575898,6.3991259727078935,9.961858333457931
1063,2020-08-16,1,2020-08-02,spatial,8.00123999375205,0.8998737969999987,6.401963214276142,10.000032692292796
1063,2020-08-23,2,2020-08-02,spatial,7.9945530451661275,0.8024114040026579,6.552976211229177,9.753259638338669
1063,2020-08-30,3,2020-08-02,spatial,7.997140554333653,0.5864942328095425,6.913039066690742,9.251250633591852
1065,2020-08-09,0,2020-08-02,spatial,33.80630856093693,3.7309776028046087,27.140385939972447,42.10944166545769
1065,2020-08-16,1,2020-08-02,spatial,33.85442178606695,2.4502315074993466,29.31474389872122,39.097113671831224
1065,2020-08-23,2,2020-08-02,spatial,34.168189151629015,3.624216482020159,27.716357442481225,42.12188244159779
1065,2020-08-30,3,2020-08-02,spatial,33.91710488461206,3.979110247492877,26.851087791948785,42.842584727562134
1067,2020-08-09,0,2020-08-02,spatial,24.081476367279443,2.1800644968335465,20.128604197833237,28.810616887695762
1067,2020-08-16,1,2020-08-02,spatial,24.02970749597003,2.2384858961916887,19.96757009400959,28.91823289580489
