fips,fct_date,horizon,avl_date,method,value,fct_std
1001,2020-08-09,0,2020-08-02,spatial_mob,199.98779919771331,343.2658106581142
1001,2020-08-16,1,2020-08-02,spatial_mob,220.31198361508342,390.45854698001966
1001,2020-08-23,2,2020-08-02,spatial_mob,244.98247634684085,513.2809836737998
1001,2020-08-30,3,2020-08-02,spatial_mob,141.8967413612665,145.07348575299716
1003,2020-08-09,0,2020-08-02,spatial_mob,777.4434528240457,1066.45039823382
1003,2020-08-16,1,2020-08-02,spatial_mob,850.5852148630597,832.1359965147225
1003,2020-08-23,2,2020-08-02,spatial_mob,775.363259457146,1548.7079665910526
1003,2020-08-30,3,2020-08-02,spatial_mob,941.4545160968864,2408.8432711740197
1005,2020-08-09,0,2020-08-02,spatial_mob,28.66664039400696,37.4116581955238
1005,2020-08-16,1,2020-08-02,spatial_mob,33.353698515995205,46.14177424429275
1005,2020-08-23,2,2020-08-02,spatial_mob,29.16268700099272,37.78812811450428
1005,2020-08-30,3,2020-08-02,spatial_mob,23.19773152901197,19.42129026564545
1007,2020-08-09,0,2020-08-02,spatial_mob,112.7721512478108,179.02257007868542
1007,2020-08-16,1,2020-08-02,spatial_mob,117.2870101564036,174.43539013114795
1007,2020-08-23,2,2020-08-02,spatial_mob,140.87932445388248,279.60850467221746
1007,2020-08-30,3,2020-08-02,spatial_mob,127.3053364370868,192.57219377938358
1009,2020-08-09,0,2020-08-02,spatial_mob,146.26978704690038,219.57192174929241
1009,2020-08-16,1,2020-08-02,spatial_mob,161.06172375159144,312.347574624562
1009,2020-08-23,2,2020-08-02,spatial_mob,151.57590588450637,213.5101859273749
1009,2020-08-30,3,2020-08-02,spatial_mob,138.46737123818707,217.20000183924708
1011,2020-08-09,0,2020-08-02,spatial_mob,53.707781633176644,94.09455862974085
1011,2020-08-16,1,2020-08-02,spatial_mob,55.99287073641211,92.499703021128
1011,2020-08-23,2,2020-08-02,spatial_mob,44.77146893231617,58.07337010661109
1011,2020-08-30,3,2020-08-02,spatial_mob,43.83374044235017,60.143148706038076
1013,2020-08-09,0,2020-08-02,spatial_mob,23.104077123247148,27.33230597468524
1013,2020-08-16,1,2020-08-02,spatial_mob,22.214875970473127,12.635667628983256
1013,2020-08-23,2,2020-08-02,spatial_mob,25.259719301539484,12.849293351624706
1013,2020-08-30,3,2020-08-02,spatial_mob,29.20350097942996,42.41982223758985
1015,2020-08-09,0,2020-08-02,spatial_mob,585.1720276974647,703.0151465499684
1015,2020-08-16,1,2020-08-02,spatial_mob,573.6978203350368,1038.9553285410218
1015,2020-08-23,2,2020-08-02,spatial_mob,653.8717942607021,1173.259563596739
1015,2020-08-30,3,2020-08-02,spatial_mob,510.0902832803154,602.2861988050342
1017,2020-08-09,0,2020-08-02,spatial_mob,58.241568543610214,85.63504650172901
1017,2020-08-16,1,2020-08-02,spatial_mob,52.18993544010792,70.51446218688116
1017,2020-08-23,2,2020-08-02,spatial_mob,51.031281690783864,61.77453917947898
1017,2020-08-30,3,2020-08-02,spatial_mob,44.699706262791814,50.44916802708615
1019,2020-08-09,0,2020-08-02,spatial_mob,99.50195936807914,164.34093466235106
1019,2020-08-16,1,2020-08-02,spatial_mob,111.19081676852257,206.09150411221
1019,2020-08-23,2,2020-08-02,spatial_mob,103.77077439643585,181.4391373453022
1019,2020-08-30,3,2020-08-02,spatial_mob,98.10505407225328,150.80336580066455
1021,2020-08-09,0,2020-08-02,spatial_mob,218.0551045488576,323.5188526368329
1021,2020-08-16,1,2020-08-02,spatial_mob,204.7190626163405,289.11353531708863
1021,2020-08-23,2,2020-08-02,spatial_mob,190.6902184270577,225.78606286445745
1021,2020-08-30,3,2020-08-02,spatial_mob,208.28043795813042,399.811160061052
1023,2020-08-09,0,2020-08-02,spatial_mob,10.262645801901458,6.16171764874212
1023,2020-08-16,1,2020-08-02,spatial_mob,10.806659421930576,8.399935327228004
1023,2020-08-23,2,2020-08-02,spatial_mob,15.978786023280575,23.070231415314087
1023,2020-08-30,3,2020-08-02,spatial_mob,15.839262710908784,32.05548919459446
1025,2020-08-09,0,2020-08-02,spatial_mob,278.10226177534776,304.9352375669405
1025,2020-08-16,1,2020-08-02,spatial_mob,346.43009193953566,568.7576395648798
1025,2020-08-23,2,2020-08-02,spatial_mob,227.94629987308468,220.68716347498642
1025,2020-08-30,3,2020-08-02,spatial_mob,339.5445910620432,483.80502816316863
1027,2020-08-09,0,2020-08-02,spatial_mob,121.07223252754505,219.1924012183236
1027,2020-08-16,1,2020-08-02,spatial_mob,101.39371984523292,163.13688597595697
1027,2020-08-23,2,2020-08-02,spatial_mob,109.04000837705969,185.29007208916755
1027,2020-08-30,3,2020-08-02,spatial_mob,79.838565835383,107.78538738206659
1029,2020-08-09,0,2020-08-02,spatial_mob,52.23319610715975,156.9109849103043
1029,2020-08-16,1,2020-08-02,spatial_mob,28.163226419131842,54.321542851916654
1029,2020-08-23,2,2020-08-02,spatial_mob,20.375094481043888,25.93130519031175
1029,2020-08-30,3,2020-08-02,spatial_mob,23.945716453057074,35.734207513947226
1031,2020-08-09,0,2020-08-02,spatial_mob,108.37902759960241,144.9173265039391
1031,2020-08-16,1,2020-08-02,spatial_mob,107.41173042288588,153.06923198772813
1031,2020-08-23,2,2020-08-02,spatial_mob,162.31464564271351,362.48871321563934
1031,2020-08-30,3,2020-08-02,spatial_mob,98.15575095426321,119.68384496854702
1033,2020-08-09,0,2020-08-02,spatial_mob,295.9675839167973,537.9587160360643
1033,2020-08-16,1,2020-08-02,spatial_mob,196.76166390348973,230.91876659523803
1033,2020-08-23,2,2020-08-02,spatial_mob,191.7730101830204,234.22014062235405
1033,2020-08-30,3,2020-08-02,spatial_mob,190.3055548040616,218.04591570188882
1035,2020-08-09,0,2020-08-02,spatial_mob,37.696592916968214,52.23814557507031
