,fips,fct_date,horizon,avl_date,value,fct_std
0,1.0,2020-10-11,0,2020-10-04,6934.735053808981,2.029188039517563
1,2.0,2020-10-11,0,2020-10-04,823.1153522565,2.0624484972462898
2,4.0,2020-10-11,0,2020-10-04,3887.8989854464016,2.4225400660418472
3,5.0,2020-10-11,0,2020-10-04,5589.040554737454,2.299382935340637
4,6.0,2020-10-11,0,2020-10-04,23511.620513319853,2.4888493393255846
5,8.0,2020-10-11,0,2020-10-04,3885.262697783226,2.2172256822656893
6,9.0,2020-10-11,0,2020-10-04,1529.3019743440382,2.0879582837858033
7,10.0,2020-10-11,0,2020-10-04,838.6255635947418,2.07084324424601
8,11.0,2020-10-11,0,2020-10-04,333.93527938240004,1.9991507858803315
9,12.0,2020-10-11,0,2020-10-04,16562.379430782516,2.2390357365630296
10,13.0,2020-10-11,0,2020-10-04,8851.37302245939,2.179834453788951
11,15.0,2020-10-11,0,2020-10-04,739.7857442525237,2.1261378642974322
12,16.0,2020-10-11,0,2020-10-04,3129.0004777372596,2.128353316386068
13,17.0,2020-10-11,0,2020-10-04,14439.772132676968,2.311484388927422
14,18.0,2020-10-11,0,2020-10-04,7264.769616284699,2.2207047705684104
15,19.0,2020-10-11,0,2020-10-04,6245.954472894504,1.9682691480616983
16,20.0,2020-10-11,0,2020-10-04,4664.816431160623,2.1539079441156397
17,21.0,2020-10-11,0,2020-10-04,6181.493497599993,1.987036353592281
18,22.0,2020-10-11,0,2020-10-04,4004.1294989804155,2.2974518719699426
19,23.0,2020-10-11,0,2020-10-04,213.9872547756504,2.3216768040675095
20,24.0,2020-10-11,0,2020-10-04,3757.7725617208926,2.230039217130345
21,25.0,2020-10-11,0,2020-10-04,3599.974064055452,1.975386360753324
22,26.0,2020-10-11,0,2020-10-04,6673.567810600885,2.0101490700687323
23,27.0,2020-10-11,0,2020-10-04,6769.4350651068235,2.0463623119388847
24,28.0,2020-10-11,0,2020-10-04,3753.9359935196117,1.9347656456527051
25,29.0,2020-10-11,0,2020-10-04,10597.358382535982,2.076466214860566
26,30.0,2020-10-11,0,2020-10-04,2584.657475351585,2.6223330159935205
27,31.0,2020-10-11,0,2020-10-04,3552.1524126411823,2.2410928276946773
28,32.0,2020-10-11,0,2020-10-04,3200.664593917696,2.0023739558669593
29,33.0,2020-10-11,0,2020-10-04,320.88499727928865,2.206031003611799
30,34.0,2020-10-11,0,2020-10-04,5026.782464691263,2.3433935575148896
31,35.0,2020-10-11,0,2020-10-04,1685.3657745203673,2.3715557513131498
32,36.0,2020-10-11,0,2020-10-04,7563.685179882217,2.0583485530821948
33,37.0,2020-10-11,0,2020-10-04,10331.052749504743,2.2825416535340706
34,38.0,2020-10-11,0,2020-10-04,2740.1894624974084,2.106826905910329
35,39.0,2020-10-11,0,2020-10-04,7602.705374972051,2.184705817765324
36,40.0,2020-10-11,0,2020-10-04,7390.6579022577935,2.3044995228406395
37,41.0,2020-10-11,0,2020-10-04,1967.5680665428372,2.113336884061073
38,42.0,2020-10-11,0,2020-10-04,7123.068182844407,1.92996600690821
39,44.0,2020-10-11,0,2020-10-04,827.2429292710549,2.148646153251941
40,45.0,2020-10-11,0,2020-10-04,6404.953174533875,2.1164574191229595
41,46.0,2020-10-11,0,2020-10-04,2774.0678348232977,2.0232458073626547
42,47.0,2020-10-11,0,2020-10-04,10314.611398248438,2.026073828458541
43,48.0,2020-10-11,0,2020-10-04,35415.90376116347,2.0909856949829773
